,attrition,business_travel,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,job_involvement,job_level,job_role,marital_status,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,age,job_satisfaction,monthly_income
25,no,travel_rarely,research & development,5,3,other,32,3,female,3,5, manager ,divorced,4,no,11,3,4,1,26,3,2,14,13,4,8.0,53,3,19094.0
26,yes,travel_frequently,research & development,16,1,life sciences,33,2,female,1,1, research scientist ,single,1,yes,22,4,2,0,10,5,3,10,2,6,7.0,32,1,3919.0
27,no,travel_rarely,sales,8,4,marketing,35,3,male,3,2, sales executive ,married,0,no,11,3,4,1,10,2,3,9,7,4,2.0,42,2,6825.0
28,no,non-travel,research & development,7,4,medical,36,1,female,2,3, healthcare representative ,married,3,no,14,3,4,1,24,4,3,22,6,5,17.0,44,4,10248.0
29,no,travel_rarely,sales,2,4,marketing,38,2,female,3,5, manager ,single,3,no,12,3,4,0,22,2,2,2,2,2,3.0,46,1,18947.0
30,no,travel_rarely,research & development,2,3,medical,39,3,male,3,1, laboratory technician ,single,4,no,11,3,4,0,7,3,3,1,1,0,0.0,33,4,2496.0
31,no,non-travel,research & development,10,4,other,40,4,male,3,2, healthcare representative ,married,2,yes,13,3,4,0,9,5,4,4,2,1,3.0,44,4,6465.0
32,no,travel_rarely,research & development,9,2,medical,41,4,male,2,1, laboratory technician ,single,1,no,13,3,1,0,10,5,3,10,0,1,8.0,30,3,2206.0
33,yes,travel_rarely,sales,5,3,technical degree,42,4,male,3,2, sales representative ,married,3,no,14,3,3,1,19,6,4,1,0,0,3.0,39,4,2086.0
34,yes,travel_rarely,research & development,1,3,medical,45,2,male,3,1, research scientist ,married,2,yes,16,3,1,1,6,2,2,2,0,2,0.0,24,4,2293.0
35,no,travel_rarely,research & development,2,2,other,46,4,female,4,1, research scientist ,divorced,1,no,12,3,4,2,6,3,2,5,3,1,4.0,43,3,2645.0
36,yes,travel_rarely,sales,3,2,marketing,47,1,male,2,1, sales representative ,married,1,yes,14,3,3,0,3,2,3,3,2,0,2.0,50,3,2683.0
37,no,travel_rarely,sales,2,3,marketing,49,4,female,3,1, sales representative ,married,1,no,13,3,1,0,2,3,3,2,2,2,2.0,35,4,2014.0
38,no,travel_rarely,research & development,5,4,life sciences,51,2,female,2,1, research scientist ,married,9,yes,14,3,4,1,6,3,4,1,1,0,0.0,36,1,3419.0
39,no,travel_frequently,sales,1,3,life sciences,52,3,female,4,2, sales executive ,married,2,no,19,3,1,2,10,3,3,5,3,1,3.0,33,1,5376.0
40,no,travel_rarely,research & development,4,2,other,53,3,male,3,1, laboratory technician ,divorced,1,no,12,3,3,1,1,3,3,1,0,0,0.0,35,4,1951.0
41,no,travel_rarely,research & development,2,4,life sciences,54,4,female,3,1, laboratory technician ,divorced,1,no,13,3,4,1,1,6,3,1,0,0,0.0,27,1,2341.0
42,yes,travel_rarely,research & development,25,3,life sciences,55,1,male,1,1, laboratory technician ,single,1,no,12,3,3,0,1,2,2,1,0,0,1.0,26,3,2293.0
43,no,travel_frequently,sales,8,3,life sciences,56,4,male,3,3, sales executive ,single,1,no,15,3,4,0,9,0,3,9,8,1,3.0,27,3,8726.0
44,no,travel_frequently,research & development,1,2,medical,57,3,female,3,2, laboratory technician ,single,1,no,23,4,4,0,12,2,3,12,8,3,7.0,30,4,4011.0
45,yes,travel_rarely,research & development,12,3,technical degree,58,2,female,3,5, research director ,married,1,no,12,3,4,0,23,0,3,22,15,15,8.0,41,3,19545.0
46,no,non-travel,unknown,23,4,marketing,60,2,male,3,2, sales executive ,single,0,no,20,4,3,0,10,2,3,9,5,8,7.0,34,3,4568.0
47,no,non-travel,research & development,19,2,life sciences,61,2,male,3,1, research scientist ,married,4,no,21,4,1,0,8,1,3,1,0,0,0.0,37,2,3022.0
48,no,travel_frequently,sales,5,4,marketing,62,1,male,3,2, sales executive ,unknown,4,yes,21,4,3,0,14,4,3,9,6,0,8.0,46,4,5772.0
49,no,travel_rarely,research & development,8,1,life sciences,63,4,male,4,1, laboratory technician ,married,1,no,19,3,4,0,1,2,3,1,0,0,1.0,35,4,2269.0
50,yes,travel_rarely,research & development,1,2,life sciences,64,1,male,2,3, laboratory technician ,single,9,yes,13,3,4,0,23,2,3,1,0,0,0.0,48,3,5381.0
51,yes,travel_rarely,research & development,5,4,technical degree,65,3,male,3,1, laboratory technician ,single,1,yes,13,3,3,0,2,3,2,2,2,2,2.0,28,3,3441.0
52,no,travel_rarely,sales,1,5,marketing,68,2,female,3,2, sales executive ,divorced,5,yes,21,4,3,1,9,2,2,4,3,1,3.0,44,1,5454.0
53,no,non-travel,research & development,11,2,medical,70,3,male,2,3, healthcare representative ,married,2,yes,13,3,3,1,10,3,3,4,0,2,3.0,35,1,9884.0
54,no,travel_rarely,sales,23,3,marketing,72,3,female,2,2, sales executive ,married,7,yes,19,3,3,1,5,2,2,2,2,0,0.0,26,4,4157.0
55,no,travel_frequently,research & development,1,2,life sciences,73,1,female,3,3, research director ,single,1,yes,12,3,3,0,15,1,3,15,14,8,12.0,33,4,13458.0
56,no,travel_frequently,sales,18,5,life sciences,74,2,male,3,3, sales executive ,married,1,no,22,4,4,1,9,3,2,9,8,1,8.0,35,1,9069.0
57,no,travel_rarely,research & development,23,4,medical,75,3,female,3,1, laboratory technician ,married,3,yes,15,3,3,1,4,3,3,2,2,2,3.0,35,1,4014.0
58,no,travel_rarely,research & development,7,4,life sciences,76,4,male,3,2, laboratory technician ,divorced,3,no,22,4,4,1,10,3,2,7,7,1,7.0,31,4,5915.0
59,no,travel_rarely,research & development,1,4,life sciences,77,1,male,2,2, manufacturing director ,divorced,1,no,18,3,3,1,7,0,4,7,5,0,7.0,37,3,5993.0
60,no,non-travel,research & development,1,3,medical,78,1,male,3,2, manufacturing director ,married,1,no,22,4,2,1,9,3,3,9,8,7,8.0,32,4,6162.0
61,no,travel_frequently,research & development,29,5,life sciences,79,4,female,3,2, laboratory technician ,single,1,no,11,3,4,0,10,2,3,10,3,9,9.0,38,4,2406.0
62,no,travel_rarely,research & development,7,2,medical,80,2,female,2,5, research director ,divorced,5,yes,12,3,4,1,29,2,2,27,3,13,8.0,50,3,18740.0
63,no,travel_rarely,sales,25,3,life sciences,81,1,female,3,3, sales executive ,single,7,no,11,3,4,0,28,3,2,21,16,7,9.0,36,3,7637.0
64,no,travel_rarely,research & development,8,3,technical degree,83,3,female,3,3, healthcare representative ,divorced,1,no,13,3,2,3,17,2,3,17,14,12,8.0,36,3,10096.0
65,no,travel_rarely,unknown,8,3,medical,84,4,female,3,4, manager ,divorced,2,yes,14,3,3,3,21,2,3,5,0,0,2.0,55,3,14756.0
66,no,travel_frequently,research & development,11,3,life sciences,85,2,male,2,2, manufacturing director ,single,1,no,13,3,3,0,6,3,3,6,5,0,3.0,36,2,6499.0
67,no,travel_rarely,research & development,7,3,life sciences,86,2,male,3,3, research scientist ,divorced,2,no,17,3,3,1,25,2,3,1,0,0,0.0,45,1,9724.0
68,no,travel_frequently,research & development,1,3,medical,88,2,male,3,1, research scientist ,married,4,no,13,3,4,1,5,2,2,3,2,1,2.0,35,1,2194.0
69,yes,travel_rarely,research & development,9,3,medical,90,4,male,2,1, research scientist ,married,0,yes,17,3,1,1,2,0,2,1,0,0,3.0,36,3,3388.0
70,no,travel_frequently,sales,1,1,life sciences,91,1,female,2,2, sales executive ,single,7,no,11,3,4,0,20,2,2,4,3,1,3.0,59,3,5473.0
71,no,travel_rarely,research & development,2,3,life sciences,94,3,male,3,1, research scientist ,unknown,0,no,23,4,4,1,6,3,3,5,4,0,4.0,29,2,2703.0
72,no,travel_rarely,research & development,1,4,medical,95,3,male,3,1, research scientist ,single,1,no,17,3,2,0,1,4,3,1,1,1,0.0,31,2,2501.0
73,no,travel_rarely,research & development,1,3,life sciences,96,2,male,3,2, research scientist ,married,1,no,17,3,2,2,10,3,3,10,4,0,9.0,32,2,6220.0
74,no,travel_rarely,research & development,6,3,life sciences,97,2,female,4,1, laboratory technician ,married,3,no,12,3,2,0,5,3,3,1,0,0,0.0,36,4,3038.0
75,no,travel_rarely,research & development,8,4,life sciences,98,3,female,3,2, manufacturing director ,single,1,no,23,4,4,0,11,2,3,11,7,1,8.0,31,4,4424.0
76,no,travel_rarely,sales,1,4,marketing,100,3,male,2,2, sales executive ,single,0,no,14,3,2,0,16,2,3,15,13,2,8.0,35,1,4312.0
77,no,travel_rarely,research & development,6,4,other,101,4,male,3,3, research director ,married,4,no,14,3,2,0,17,3,4,0,0,0,0.0,45,1,13245.0
78,no,travel_rarely,research & development,7,4,medical,102,1,male,3,3, research director ,single,4,no,13,3,1,0,16,3,4,5,2,0,3.0,37,3,13664.0
79,no,non-travel,human resources,5,2,medical,103,2,male,3,2, human resources ,divorced,8,yes,22,4,4,1,16,0,3,4,2,0,2.0,46,2,5021.0
80,no,travel_rarely,research & development,1,1,life sciences,104,4,male,2,2, laboratory technician ,married,1,yes,12,3,3,2,10,1,2,10,8,3,0.0,30,4,5126.0
81,no,travel_rarely,research & development,1,3,medical,105,2,male,2,1, research scientist ,single,1,no,18,3,1,0,6,3,3,6,4,0,4.0,35,3,2859.0
82,no,travel_rarely,sales,1,2,life sciences,106,1,male,3,3, sales executive ,unknown,3,no,14,3,4,1,24,4,3,1,0,1,0.0,55,4,10239.0
83,no,non-travel,research & development,6,3,medical,107,2,female,1,2, research scientist ,divorced,7,yes,12,3,4,3,17,3,3,13,11,1,9.0,38,4,5329.0
84,no,travel_rarely,research & development,1,2,medical,110,1,male,3,2, manufacturing director ,married,1,no,15,3,3,0,5,2,3,5,2,1,3.0,34,2,4325.0
85,no,travel_rarely,research & development,7,3,life sciences,112,4,male,1,3, manufacturing director ,single,4,no,11,3,1,0,37,3,2,6,4,0,2.0,56,4,7260.0
86,no,travel_rarely,sales,2,1,technical degree,113,3,male,3,1, sales representative ,divorced,3,no,13,3,3,1,3,3,3,0,0,0,0.0,23,1,2322.0
87,no,travel_rarely,research & development,9,4,life sciences,116,4,male,3,1, laboratory technician ,married,3,no,23,4,2,2,10,4,3,4,2,0,3.0,51,4,2075.0
88,no,travel_rarely,research & development,2,3,life sciences,117,3,male,2,2, healthcare representative ,married,1,no,19,3,1,3,11,3,3,11,10,10,8.0,30,4,4152.0
89,yes,travel_rarely,sales,9,2,medical,118,3,male,2,3, sales executive ,single,1,no,16,3,4,0,9,3,3,9,8,4,7.0,46,4,9619.0
90,no,travel_frequently,research & development,1,4,life sciences,119,3,male,2,4, healthcare representative ,married,1,no,22,4,4,1,22,3,2,22,3,11,11.0,40,2,13503.0
91,no,travel_rarely,sales,21,4,marketing,120,3,male,3,2, sales executive ,single,0,yes,22,4,4,0,11,2,1,10,7,1,0.0,37,4,5441.0
92,no,travel_rarely,sales,4,2,medical,121,3,female,2,2, sales executive ,divorced,1,yes,12,3,2,3,11,4,2,11,8,2,7.0,30,2,5209.0
93,no,travel_frequently,research & development,1,3,medical,124,3,male,2,3, healthcare representative ,married,2,yes,13,3,3,1,21,5,2,10,9,9,5.0,46,1,10673.0
94,no,travel_rarely,sales,6,4,medical,125,2,male,3,2, sales executive ,single,1,no,16,3,1,0,12,0,3,11,8,5,7.0,32,3,5010.0
95,no,travel_rarely,research & development,2,4,technical degree,126,1,female,3,3, research director ,married,9,no,12,3,1,1,16,0,1,4,3,0,3.0,54,3,13549.0
96,no,travel_rarely,sales,3,2,other,128,1,female,3,2, sales executive ,married,0,no,21,4,1,1,4,2,2,3,2,0,2.0,24,3,4999.0
97,no,non-travel,sales,4,3,medical,129,2,male,3,2, sales executive ,married,1,no,15,3,2,0,5,3,4,5,4,0,4.0,37,3,4221.0
98,no,travel_rarely,unknown,10,4,medical,131,4,male,3,4, sales executive ,single,0,no,13,3,3,0,38,1,2,37,10,1,8.0,58,3,13872.0
99,no,non-travel,research & development,23,3,medical,132,2,male,3,2, laboratory technician ,married,4,no,12,3,3,1,17,3,4,3,2,1,2.0,44,2,2042.0
100,yes,travel_rarely,human resources,6,4,human resources,133,3,male,3,1, human resources ,unknown,4,no,22,4,4,0,7,3,3,3,2,0,2.0,37,1,2073.0
101,no,travel_rarely,research & development,1,1,life sciences,134,4,male,3,1, research scientist ,single,1,no,13,3,4,0,1,2,3,1,0,0,0.0,32,1,2956.0
102,yes,travel_frequently,research & development,6,3,life sciences,137,4,female,2,1, laboratory technician ,single,1,yes,18,3,2,0,1,0,3,1,0,1,3.0,20,4,2926.0
103,no,travel_rarely,research & development,6,4,other,138,1,female,3,2, research scientist ,single,1,no,14,3,3,0,16,3,3,16,13,2,10.0,34,3,4809.0
104,no,non-travel,research & development,2,2,life sciences,139,3,male,2,2, healthcare representative ,divorced,5,no,14,3,4,1,17,2,4,1,0,0,3.0,37,4,5163.0
105,no,non-travel,human resources,2,4,human resources,140,3,female,2,5, manager ,married,9,no,21,4,4,1,30,3,3,3,2,2,2.0,59,4,18844.0
106,no,travel_frequently,research & development,1,3,life sciences,141,1,female,3,5, research director ,married,3,yes,19,3,1,0,28,1,2,8,3,0,7.0,50,2,18172.0
107,yes,travel_rarely,sales,5,3,marketing,142,3,male,2,2, sales executive ,single,1,yes,11,3,4,0,6,1,3,6,4,0,3.0,25,3,5744.0
108,no,travel_rarely,research & development,7,1,medical,143,4,male,2,1, research scientist ,married,1,no,11,3,3,2,2,2,3,2,2,2,1.0,25,4,2889.0
109,no,travel_rarely,research & development,15,3,medical,144,2,female,3,1, laboratory technician ,single,1,no,15,3,3,0,1,5,3,0,0,0,0.0,22,4,2871.0
110,no,travel_frequently,research & development,1,4,medical,145,1,female,2,3, healthcare representative ,single,3,no,20,4,3,0,23,0,2,13,12,12,8.0,51,1,7484.0
111,yes,travel_frequently,research & development,7,3,life sciences,147,1,male,1,2, laboratory technician ,single,1,yes,24,4,4,0,9,0,3,9,7,0,6.0,38,3,6074.0
112,no,non-travel,human resources,26,3,human resources,148,4,female,4,4, manager ,single,2,yes,12,3,3,0,23,3,3,5,3,4,4.0,54,4,17328.0
113,no,travel_rarely,research & development,18,1,life sciences,150,2,male,3,1, laboratory technician ,married,0,no,12,3,3,1,6,2,3,5,3,1,2.0,24,3,2774.0
114,no,travel_rarely,research & development,6,4,other,151,3,female,2,2, research scientist ,divorced,6,no,15,3,3,1,12,3,3,1,0,0,0.0,34,2,4505.0
115,no,travel_rarely,sales,3,3,life sciences,152,3,male,3,3, sales executive ,single,2,no,12,3,1,0,12,3,3,5,3,1,3.0,37,4,7428.0
116,no,travel_rarely,research & development,5,3,medical,153,3,female,2,3, manager ,single,2,no,12,3,4,0,14,6,3,11,10,5,8.0,34,1,11631.0
117,no,travel_frequently,sales,11,2,technical degree,154,2,female,3,3, sales executive ,married,0,no,14,3,3,1,10,6,3,9,7,2,8.0,36,4,9738.0
118,no,travel_rarely,research & development,3,2,life sciences,155,1,female,3,1, laboratory technician ,divorced,5,no,22,4,1,1,7,2,3,1,0,0,0.0,36,4,2835.0
119,no,travel_frequently,sales,26,2,life sciences,158,3,male,3,4, manager ,unknown,1,yes,12,3,4,2,25,3,4,25,12,4,12.0,43,4,16959.0
120,no,travel_frequently,research & development,23,3,life sciences,159,1,male,1,1, research scientist ,divorced,1,no,25,4,3,3,10,2,2,10,7,0,3.0,38,3,2613.0
121,no,non-travel,sales,22,2,marketing,160,3,male,3,2, sales executive ,married,0,no,13,3,1,1,8,2,4,7,7,0,7.0,33,2,6146.0
122,yes,non-travel,research & development,14,4,life sciences,161,2,female,3,1, research scientist ,married,9,yes,18,3,1,3,7,2,3,5,4,4,3.0,56,2,4963.0
123,no,non-travel,research & development,6,3,life sciences,162,1,male,3,5, research director ,single,7,no,13,3,3,0,23,5,3,20,18,15,15.0,51,3,19537.0
124,yes,non-travel,sales,6,4,life sciences,163,2,male,1,2, sales executive ,married,4,yes,18,3,2,0,12,3,2,7,7,7,7.0,39,3,6172.0
125,no,travel_rarely,research & development,6,3,other,164,3,female,2,1, research scientist ,married,1,no,19,3,3,0,5,3,2,5,4,4,3.0,26,2,2368.0
126,yes,travel_rarely,research & development,23,4,medical,165,4,female,3,3, healthcare representative ,married,1,no,12,3,4,1,40,3,2,40,10,15,6.0,58,4,8900.0
127,yes,travel_rarely,sales,22,1,marketing,167,4,male,3,1, sales representative ,unknown,1,yes,19,3,4,0,0,2,2,0,0,0,0.0,19,3,1675.0
128,no,travel_rarely,research & development,2,1,technical degree,169,3,male,3,1, laboratory technician ,unknown,0,no,14,3,3,1,3,2,3,2,1,2,1.0,22,4,2523.0
129,no,travel_rarely,research & development,20,4,medical,170,3,female,3,2, manufacturing director ,married,1,no,14,3,3,0,16,2,2,15,11,5,11.0,49,1,6567.0
130,no,travel_frequently,research & development,28,3,medical,171,2,female,4,1, research scientist ,single,4,no,12,3,4,0,18,2,3,3,2,1,2.0,43,3,4739.0
131,no,travel_frequently,sales,12,3,marketing,174,3,female,3,3, sales executive ,single,4,no,11,3,4,0,16,3,3,2,2,2,1.0,34,4,9208.0
132,yes,travel_rarely,sales,20,3,life sciences,175,2,female,1,2, sales executive ,married,3,yes,11,3,3,1,4,2,3,2,2,2,2.0,34,3,4559.0
133,no,travel_rarely,sales,9,1,life sciences,176,3,male,3,3, sales executive ,unknown,3,yes,13,3,3,1,12,2,3,9,7,0,7.0,41,3,8189.0
134,no,travel_rarely,human resources,25,1,life sciences,177,3,female,3,1, human resources ,married,1,no,23,4,4,1,8,3,3,8,7,5,7.0,26,3,2942.0
135,no,travel_rarely,research & development,6,2,medical,178,2,male,3,2, manufacturing director ,divorced,6,no,20,4,4,2,7,0,3,3,2,0,1.0,36,2,4941.0
136,yes,travel_frequently,research & development,8,4,life sciences,179,1,male,1,3, manufacturing director ,unknown,2,no,15,3,4,0,18,2,3,4,2,0,3.0,51,4,10650.0
137,no,non-travel,sales,4,4,life sciences,182,4,female,2,2, sales executive ,married,4,no,14,3,3,1,17,1,4,15,11,5,9.0,39,3,5902.0
138,no,travel_rarely,sales,28,3,life sciences,183,1,male,2,2, sales executive ,married,2,no,18,3,4,0,6,3,3,2,2,2,2.0,25,3,8639.0
139,no,travel_rarely,human resources,9,3,human resources,184,3,male,3,2, human resources ,married,0,yes,19,3,4,0,12,2,1,11,9,4,3.0,30,4,6347.0
140,yes,travel_rarely,research & development,9,3,medical,190,1,female,3,1, laboratory technician ,single,7,no,22,4,1,0,10,2,4,5,4,0,4.0,32,1,4200.0
141,no,travel_rarely,research & development,29,3,medical,192,3,male,3,1, research scientist ,single,5,no,13,3,2,0,9,2,2,6,5,0,3.0,45,4,3452.0
142,no,travel_rarely,research & development,3,5,technical degree,193,4,female,3,2, research scientist ,single,3,yes,20,4,2,0,19,2,3,3,2,2,2.0,38,3,4317.0
143,no,travel_rarely,research & development,18,3,life sciences,194,1,female,3,1, research scientist ,single,1,no,14,3,3,0,5,4,2,5,4,0,4.0,30,3,2632.0
144,no,travel_frequently,sales,9,2,medical,195,4,male,1,2, sales executive ,divorced,0,no,17,3,4,3,9,2,4,8,7,0,7.0,32,4,4668.0
145,no,travel_rarely,research & development,5,3,technical degree,197,4,female,3,1, research scientist ,divorced,5,no,14,3,4,1,8,3,3,3,2,2,2.0,30,1,3204.0
146,no,non-travel,research & development,2,1,medical,198,2,male,2,1, laboratory technician ,single,0,no,13,3,4,0,6,3,3,5,3,1,2.0,30,4,2720.0
147,no,travel_frequently,research & development,10,3,life sciences,199,4,male,2,4, manager ,divorced,4,no,13,3,2,1,21,2,2,7,6,7,7.0,41,1,17181.0
148,no,travel_rarely,research & development,9,4,life sciences,200,3,male,3,1, laboratory technician ,married,2,no,21,4,4,1,7,2,3,5,0,1,3.0,41,1,2238.0
149,no,travel_rarely,research & development,3,1,medical,201,2,female,3,1, laboratory technician ,single,1,no,14,3,4,0,1,3,3,1,0,0,3.0,19,2,1483.0
150,no,travel_frequently,research & development,26,3,medical,202,2,female,3,2, research scientist ,divorced,1,no,11,3,1,1,20,2,3,20,7,2,13.0,40,2,5605.0
151,no,non-travel,sales,1,5,marketing,204,3,male,3,3, sales executive ,married,1,no,13,3,1,2,10,3,3,10,8,0,6.0,35,2,7295.0
152,no,travel_rarely,sales,6,2,other,205,2,male,3,2, sales representative ,married,2,yes,20,4,4,1,13,3,1,7,7,4,5.0,53,3,2306.0
153,no,travel_rarely,research & development,9,3,life sciences,206,2,male,3,2, laboratory technician ,divorced,8,no,18,3,3,1,20,2,1,17,9,0,15.0,45,2,2348.0
154,no,travel_frequently,sales,8,3,marketing,207,2,female,3,3, sales executive ,single,1,no,14,3,4,0,9,2,3,9,8,3,7.0,32,4,8998.0
155,no,non-travel,research & development,1,1,technical degree,208,4,male,3,2, manufacturing director ,married,1,no,13,3,1,1,10,1,3,10,7,0,9.0,29,3,4319.0
156,no,travel_rarely,research & development,7,4,medical,211,2,male,2,2, manufacturing director ,married,2,no,17,3,3,0,10,2,3,1,0,0,3.0,51,3,6132.0
157,no,travel_rarely,research & development,9,3,medical,214,2,female,2,1, research scientist ,married,4,yes,20,4,2,1,9,3,2,1,0,0,3.0,58,2,3346.0
158,no,travel_rarely,sales,4,4,marketing,215,3,male,2,3, sales executive ,married,7,no,11,3,1,1,15,2,2,12,11,2,11.0,40,4,10855.0
159,no,travel_frequently,sales,2,4,other,216,3,female,3,1, sales representative ,married,6,no,18,3,4,1,6,3,3,4,3,1,2.0,34,3,2231.0
160,no,travel_rarely,research & development,19,1,medical,217,3,male,3,1, research scientist ,married,1,no,24,4,1,2,2,6,3,2,2,2,2.0,22,4,2323.0
161,no,non-travel,research & development,9,3,medical,218,4,male,3,1, research scientist ,divorced,6,no,18,3,4,1,6,1,1,2,2,2,2.0,27,2,2024.0
162,no,travel_rarely,research & development,21,3,medical,221,3,male,3,1, research scientist ,married,1,no,11,3,3,1,5,2,1,5,2,0,2.0,28,4,2713.0
163,no,travel_rarely,research & development,24,2,life sciences,223,3,male,4,3, healthcare representative ,divorced,3,yes,16,3,2,1,12,2,1,5,3,1,4.0,57,4,9439.0
164,no,non-travel,research & development,3,3,medical,224,3,male,2,1, research scientist ,divorced,1,yes,15,3,4,1,1,0,2,1,1,0,1.0,27,3,2566.0
165,no,non-travel,research & development,11,3,life sciences,226,3,female,3,5, manager ,single,3,no,15,3,2,0,21,5,3,5,4,4,4.0,50,2,19335.8
166,no,travel_rarely,research & development,14,3,life sciences,227,1,male,3,1, research scientist ,divorced,4,no,12,3,1,1,13,2,3,9,8,1,8.0,41,3,2451.0
167,no,travel_rarely,sales,5,3,life sciences,228,2,female,3,3, sales executive ,married,2,no,12,3,3,1,12,2,3,10,9,7,4.0,30,4,9419.0
168,no,travel_rarely,sales,1,4,life sciences,230,1,female,2,2, sales executive ,single,4,no,22,4,3,0,12,2,4,8,3,0,7.0,38,4,8686.0
169,no,travel_rarely,research & development,6,5,life sciences,231,3,male,3,1, research scientist ,single,3,no,20,4,1,0,8,2,3,5,4,1,4.0,32,3,3038.0
170,no,travel_rarely,research & development,17,3,technical degree,233,3,male,3,1, research scientist ,unknown,0,yes,16,3,4,1,6,3,2,5,2,1,1.0,27,2,3058.0
171,yes,travel_frequently,sales,1,1,technical degree,235,3,female,1,1, sales representative ,single,0,no,21,4,1,0,1,5,4,0,0,0,0.0,19,1,2325.0
